Crop,Pesticide,Valid_From,MRL_values,count
(a) edible peel,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(20.0)]",2
(a) grapes,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(20.0)]",2
(b) leaves and herbs,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(100.0)]",2
(b) strawberries,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(30.0)]",2
(c) cane fruits,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(20.0)]",2
(c) cucurbits with inedible peel,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),2008-09-01,"[np.float64(0.03), np.float64(0.01)]",4
(c) roots,Bromide ion,2008-09-01,"[np.float64(70.0), np.float64(50.0)]",2
(d) sweet corn,Terbuthylazine (R),2021-11-06,"[np.float64(0.02), np.float64(0.01)]",4
Allspice/pimento,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Allspice/pimento,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
American persimmons/Virginia kaki,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(20.0)]",2
Anise/aniseed,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Anise/aniseed,Dichlorvos,2008-09-01,"[np.float64(0.1), np.float64(0.02)]",4
Apples,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Apricots,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Aril spices,Bromide ion,2008-09-01,"[np.float64(400.0), np.float64(50.0)]",2
Aril spices,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Avocados,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(50.0)]",2
Bananas,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(50.0)]",2
Bark spices,Bromide ion,2008-09-01,"[np.float64(400.0), np.float64(50.0)]",2
Bark spices,Dichlorvos,2008-09-01,"[np.float64(0.1), np.float64(0.02)]",4
Barley,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(50.0)]",2
Beans,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(5.0)]",2
Black caraway/black cumin,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Black caraway/black cumin,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Blackberries,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(20.0)]",2
Borage seeds,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(20.0)]",2
Breadfruits,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(20.0)]",2
Buckwheat and other pseudocereals,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(10.0)]",2
Bud spices,Bromide ion,2008-09-01,"[np.float64(400.0), np.float64(50.0)]",2
Bud spices,Dichlorvos,2008-09-01,"[np.float64(0.1), np.float64(0.02)]",4
CEREALS,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(10.0)]",2
Capers,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Capers,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Carambolas,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(20.0)]",2
Caraway,Bromide ion,2008-09-01,"[np.float64(400.0), np.float64(50.0)]",2
Caraway,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Cardamom,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Cardamom,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Carobs/Saint John's breads,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(70.0)]",2
Castor beans,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Celery,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Celery,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Chamomile,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(250.0)]",2
Cherimoyas,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(10.0)]",2
Cherries (sweet),Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Cinnamon,Bromide ion,2008-09-01,"[np.float64(400.0), np.float64(50.0)]",2
Cinnamon,Dichlorvos,2008-09-01,"[np.float64(0.1), np.float64(0.02)]",4
Citrus fruits,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(30.0)]",2
Cloves,Bromide ion,2008-09-01,"[np.float64(400.0), np.float64(50.0)]",2
Cloves,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Cocoa beans,Bromide ion,2008-09-01,"[np.float64(70.0), np.float64(50.0)]",2
Coffee beans,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(70.0)]",2
Common millet/proso millet,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(50.0)]",2
Coriander,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Coriander,Dichlorvos,2008-09-01,"[np.float64(0.1), np.float64(0.02)]",4
Cotton seeds,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Courgettes,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),2008-09-01,"[np.float64(0.05), np.float64(0.01)]",4
Cranberries,Clethodim,2008-09-01,"[np.float64(0.5), np.float64(0.1)]",2
Cucumbers,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),2008-09-01,"[np.float64(0.02), np.float64(0.01)]",4
Cucumbers,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(30.0)]",2
Cumin,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Cumin,Dichlorvos,2008-09-01,"[np.float64(0.1), np.float64(0.02)]",4
