Active Ingredient,Crop,MRL,Update Date,Pending for regulations update
"1-MCP","APPLE","0.010","2016-09-29T00:00:00",
"1-MCP","PEAR","0.010","2016-09-29T00:00:00",
"1,3 DICHLOROPROPENE","POTATO","0.010","2013-01-15T00:00:00",
"1,3 DICHLOROPROPENE","CUCUMBER","0.010","2013-01-15T00:00:00",
"1,3 DICHLOROPROPENE","WATERMELON","0.010","2013-01-15T00:00:00",
"1,3 DICHLOROPROPENE","PEPPER","0.010","2013-01-15T00:00:00",
"1,3 DICHLOROPROPENE","TOMATO","0.010","2013-01-15T00:00:00",
"1,3 DICHLOROPROPENE","SWEET POTATO","0.010","2013-01-15T00:00:00",
"1,3 DICHLOROPROPENE","CARROT","0.010","2013-01-15T00:00:00",
"1,4-DIMETHYLNAPHTALENE","POTATO","1.500","2022-10-25T00:00:00","15.000"
"2,4-D","ALFALFA","0.100","1999-01-01T00:00:00",
"2,4-D","CITRUS FRUIT","1.000","2005-07-17T00:00:00",
"2,4-D","MILK","0.010","2005-07-17T00:00:00",
"2,4-D","MEAT","0.050","2013-01-10T00:00:00",
"2,4-D","EDIBLE OFFAL","0.050","2013-01-10T00:00:00",
"2,4-D","EGGS","0.010","2005-07-17T00:00:00",
"2,4-D","POULTRY MEAT","0.050","1998-11-01T00:00:00",
"2,4-D","ALMOND","0.200","2005-07-17T00:00:00",
"2,4-D","AVOCADO","0.050","2005-07-17T00:00:00",
"2,4-D","MANGO","0.050","2005-07-20T00:00:00",
"2,4-D","PERSIMMON","0.050","2005-07-17T00:00:00",
"2,4-D","POMEGRANATE","0.050","2010-06-21T00:00:00",
"2,4-D","APPLE","0.010","2005-07-17T00:00:00",
"2,4-D","LOQUAT","0.050","2005-07-17T00:00:00",
"2,4-D","PEAR","0.010","2005-07-17T00:00:00",
"2,4-D","PLUM","0.050","2005-07-20T00:00:00",
"2,4-D","APRICOT","0.050","2005-07-17T00:00:00",
"2,4-D","NECTARINE","0.050","2005-07-17T00:00:00",
"2,4-D","PEACH","0.050","2005-07-17T00:00:00",
"2,4-D","OLIVES","0.500","1998-11-01T00:00:00",
"2,4-D","GUAVA","0.050","2005-07-17T00:00:00",
"2,4-D","BARLEY","0.010","2005-07-17T00:00:00",
"2,4-D","OAT","0.010","2005-07-20T00:00:00",
"2,4-D","SORGHUM","0.010","2005-07-17T00:00:00",
"2,4-D","WHEAT","0.500","1998-11-01T00:00:00",
"2,4-D","ANONA","0.050","2005-07-17T00:00:00",
"2,4-D","POULTRY OFFAL","0.050","2005-12-08T00:00:00",
"ABAMECTIN","THYME","0.050","2013-01-09T00:00:00",
"ABAMECTIN","GRAPES","0.020","1999-01-01T00:00:00","0.050"
"ABAMECTIN","STRAWBERRY","0.020","2005-07-20T00:00:00",
"ABAMECTIN","CITRUS FRUIT","0.010","1996-01-01T00:00:00",
"ABAMECTIN","LOVAGE",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","LUISA",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","MELISA",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","ASTER",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","POTATO","0.010","1999-01-01T00:00:00",
