Commodity_Name,Commodity_Code,Pesticide_Name,MRL_Value,Flag_Po_Fat,Year_Legal_CAC,Full_Notes,Year_Science_JMPR,Flag_Status,Is_LOD,Commodity_ID,Pesticide_ID,crop_id_mapping,crop_name_mapping,crop_reasoning,pesticide_id_mapping,pesticide_name_mapping,pesticide_reasoning
Carambola,FT 0289,Cypermethrins (including alpha- and zeta- cypermethrin),0.2,,2009.0,,2008,,False,,118.0,,,'Carambola' (קרמבולה) אינו מופיע ברשימת הגידולים ולכן אין התאמה.,66,CYPERMETHRIN,"'Cypermethrins (including alpha- and zeta- cypermethrin)' מתייחס לכלל קבוצת הציפרמתרינים, והשם 'CYERMETHRIN' (ID 66) הוא ההתאמה הקרובה ביותר."
Carambola,FT 0289,Azoxystrobin,0.1,,2013.0,,2012,,False,,229.0,,,'Carambola' (קרמבולה) אינו מופיע ברשימת הגידולים ולכן אין התאמה.,19,AZOXYSTROBIN,'Azoxystrobin' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 19).
Durian,FI 0334,Cypermethrins (including alpha- and zeta- cypermethrin),1.0,,2009.0,,2008,,False,,118.0,,,'Durian' (דוריאן) אינו מופיע ברשימת הגידולים ולכן אין התאמה.,66,CYPERMETHRIN,"'Cypermethrins (including alpha- and zeta- cypermethrin)' מתייחס לכלל קבוצת הציפרמתרינים, והשם 'CYERMETHRIN' (ID 66) הוא ההתאמה הקרובה ביותר."
Sweet corn cannery waste,AB 0447,Carbaryl,7.4,,2004.0,,2002,,False,,8.0,136,SWEET CORN,"המונח 'Sweet corn cannery waste' מתייחס לפסולת של תירס מתוק, ולכן בחרתי בתירס מתוק (ID 136) כהתאמה הקרובה ביותר.",35,CARBARYL,'Carbaryl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 35).
Soya bean hulls,AB 0541,Methomyl,1.0,,2004.0,,2001,,False,,94.0,,,"'Soya bean hulls' מתייחס לקליפות סויה, אך ברשימת הגידולים אין סויה או חלקיה, לכן אין התאמה.",188,METHOMYL,'Methomyl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 188).
Soya bean hulls,AB 0541,Flusilazole,0.05,,2008.0,,2007,,False,,165.0,,,"'Soya bean hulls' מתייחס לקליפות סויה, אך ברשימת הגידולים אין סויה או חלקיה, לכן אין התאמה.",,,'Flusilazole' אינו מופיע ברשימת חומרי ההדברה ולכן אין התאמה.
Soya bean hulls,AB 0541,Diquat,1.5,,2019.0,,2018,,False,,31.0,,,"'Soya bean hulls' מתייחס לקליפות סויה, אך ברשימת הגידולים אין סויה או חלקיה, לכן אין התאמה.",90,DIQUAT,'Diquat' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 90).
Soya bean hulls,AB 0541,Teflubenzuron,0.2,,2017.0,,2016,,False,,190.0,,,"'Soya bean hulls' מתייחס לקליפות סויה, אך ברשימת הגידולים אין סויה או חלקיה, לכן אין התאמה.",260,TEFLUBENZURON,'Teflubenzuron' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 260).
Soya bean hulls,AB 0541,Carbaryl,0.3,,2004.0,,2002,,False,,8.0,,,"'Soya bean hulls' מתייחס לקליפות סויה, אך ברשימת הגידולים אין סויה או חלקיה, לכן אין התאמה.",35,CARBARYL,'Carbaryl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 35).
Soya bean hulls,AB 0541,Dicamba,15.0,,2021.0,,2019,,False,,240.0,,,"'Soya bean hulls' מתייחס לקליפות סויה, אך ברשימת הגידולים אין סויה או חלקיה, לכן אין התאמה.",74,DICAMBA,'Dicamba' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 74).
Soya bean hulls,AB 0541,Fluxapyroxad,0.3,,2013.0,,2012,,False,,256.0,,,"'Soya bean hulls' מתייחס לקליפות סויה, אך ברשימת הגידולים אין סויה או חלקיה, לכן אין התאמה.",138,FLUXAPYROXAD,'Fluxapyroxad' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 138).
"Cotton seed, hulls",AB 0691,Methomyl,0.2,,2004.0,,2001,,False,,94.0,56,COTTON,"'Cotton seed, hulls' מתייחס לחלקי כותנה (גרעינים וקליפות), והגידול הקרוב ביותר הוא כותנה (ID 56).",188,METHOMYL,'Methomyl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 188).
"Citrus pulp, dried",AB 0001,Oxathiapiprolin,0.15,,2019.0,,2018,,False,,291.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",203,OXATHIAPIPROLIN,'Oxathiapiprolin' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 203).
"Citrus pulp, dried",AB 0001,Fluxapyroxad,8.0,,2021.0,,2019,,False,,256.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",138,FLUXAPYROXAD,'Fluxapyroxad' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 138).
"Citrus pulp, dried",AB 0001,Pydiflumetofen,1.5,,2022.0,,2021,,False,,309.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",,,'Pydiflumetofen' אינו מופיע ברשימת חומרי ההדברה ולכן אין התאמה.
